Year,Asia_Temperature
200601,-1.16
200602,1.59
200603,1.71
200604,0.17
200605,0.89
200606,1.36
200607,0.49
200608,0.82
200609,1.06
200610,1.27
200611,1.49
200612,2.09
200701,3.58
200702,1.85
200703,1.65
200704,2.25
200705,1.47
200706,0.76
200707,0.94
200708,1.39
200709,1.29
200710,1.09
200711,1.74
200712,2.08
200801,-0.63
200802,1.07
200803,4.27
200804,1.43
200805,1.14
200806,1.02
200807,0.97
200808,0.78
200809,0.62
200810,1.92
200811,2.15
200812,1.68
200901,1.44
200902,1.31
200903,1.80
200904,1.44
200905,0.96
200906,0.73
200907,0.53
200908,0.70
200909,1.25
200910,1.34
200911,0.24
200912,-0.08
201001,0.19
201002,-0.23
201003,1.15
201004,0.74
201005,1.49
201006,1.51
201007,1.38
201008,1.26
201009,0.94
201010,1.37
201011,2.61
201012,0.26
201101,-0.32
201102,0.72
201103,1.34
201104,2.06
201105,1.31
201106,1.44
201107,0.94
201108,0.93
201109,0.75
201110,1.86
201111,0.78
201112,1.15
201201,-0.05
201202,-0.49
201203,0.53
201204,2.34
201205,1.84
201206,1.79
201207,1.34
201208,0.87
201209,1.17
201210,1.15
201211,1.02
201212,-0.87
201301,0.64
201302,1.52
201303,1.33
201304,1.26
201305,1.39
201306,1.01
201307,0.77
201308,0.98
201309,0.62
201310,0.82
201311,2.99
201312,2.71
201401,0.80
201402,-0.18
201403,2.83
201404,2.12
201405,1.29
201406,1.05
201407,0.41
201408,1.08
201409,0.50
201410,0.23
201411,0.84
201412,1.50
201501,2.40
201502,3.32
201503,2.41
201504,1.55
201505,1.62
201506,1.37
201507,0.81
201508,0.95
201509,1.04
201510,1.13
201511,1.11
201512,2.83
201601,1.19
201602,3.39
201603,3.55
201604,2.57
201605,1.25
201606,1.32
201607,1.28
201608,1.59
201609,1.78
201610,-0.01
201611,-0.45
201612,1.82
201701,2.09
201702,2.37
201703,2.96
201704,1.99
201705,1.29
201706,1.22
201707,1.15
201708,1.27
201709,1.04
201710,0.88
201711,1.72
201712,2.26
201801,1.02
201802,1.55
201803,2.32
201804,1.70
201805,0.98
201806,1.29
201807,1.15
201808,1.14
201809,1.16
201810,1.83
201811,0.97
201812,0.78
201901,2.37
201902,1.88
201903,3.13
201904,1.90
201905,1.21
201906,1.31
201907,1.04
201908,0.98
201909,1.31
201910,1.80
201911,0.89
201912,2.07
202001,3.43
202002,4.10
202003,3.58
202004,2.31
202005,2.11
202006,1.09
202007,1.30
202008,1.09
202009,1.57
202010,1.27
202011,2.24
202012,0.49
202101,0.31
202102,1.93
202103,2.52
202104,1.72
202105,1.90
202106,1.52
202107,1.62
202108,1.55
202109,1.11
202110,1.26
202111,1.92
202112,1.65
202201,2.47
202202,2.40
202203,2.63
202204,2.64
202205,1.55
202206,1.73
202207,1.35
202208,1.27
202209,1.31
202210,1.59
202211,1.63
